"ID","Name","GeneratingUnitType","GenControlMode"
"gen-7284-1","BAYTOWN 3 2-1","Unknown",Setpoint
"gen-7285-1","BAYTOWN 3 3-1","Unknown",Setpoint
"gen-7286-1","BAYTOWN 3 4-1","Unknown",Setpoint
"gen-7287-1","BAYTOWN 3 5-1","Unknown",Setpoint
"gen-7288-1","BAYTOWN 3 6-1","Unknown",Setpoint
"gen-7289-1","BAYTOWN 3 7-1","Unknown",Setpoint
"gen-7307-1","WHARTON 1 3-1","Unknown",Setpoint
"gen-7308-1","WHARTON 1 4-1","Unknown",Setpoint
"gen-7309-1","WHARTON 1 5-1","Unknown",Setpoint
"gen-7310-1","WHARTON 1 6-1","Unknown",Setpoint
"gen-7311-1","WHARTON 1 7-1","Unknown",Setpoint
"gen-7323-1","FREEPORT 1 3-1","Unknown",Setpoint
"gen-7324-1","FREEPORT 1 4-1","Unknown",Setpoint
"gen-7325-1","FREEPORT 1 5-1","Unknown",Setpoint
"gen-7326-1","FREEPORT 1 6-1","Unknown",Setpoint
"gen-7329-1","NEWGULF 2-1","Unknown",Setpoint
"gen-7334-1","PASADENA 1 3-1","Unknown",Setpoint
"gen-7335-1","PASADENA 1 4-1","Unknown",Setpoint
"gen-7349-1","THOMPSONS 3-1","Unknown",Setpoint
"gen-7350-1","THOMPSONS 4-1","Unknown",Setpoint
"gen-7351-1","THOMPSONS 5-1","Unknown",Setpoint
"gen-7352-1","THOMPSONS 6-1","Unknown",Setpoint
"gen-7353-1","THOMPSONS 7-1","Unknown",Setpoint
"gen-7354-1","THOMPSONS 8-1","Unknown",Setpoint
"gen-7355-1","THOMPSONS 9-1","Unknown",Setpoint
"gen-7356-1","THOMPSONS 10-1","Unknown",Setpoint
"gen-7357-1","THOMPSONS 11-1","Unknown",Setpoint
"gen-7358-1","THOMPSONS 12-1","Unknown",Setpoint
"gen-7359-1","THOMPSONS 13-1","Unknown",Setpoint
"gen-7360-1","THOMPSONS 14-1","Unknown",Setpoint
"gen-7361-1","THOMPSONS 15-1","Unknown",Setpoint
"gen-7369-1","CHANNELVIE~8-1","Unknown",Setpoint
"gen-7370-1","CHANNELVIE~9-1","Unknown",Setpoint
"gen-7371-1","CHANNELVI~10-1","Unknown",Setpoint
"gen-7372-1","CHANNELVI~11-1","Unknown",Setpoint
"gen-7373-1","CHANNELVI~12-1","Unknown",Setpoint
"gen-7374-1","CHANNELVI~13-1","Unknown",Setpoint
"gen-7375-1","CHANNELVI~14-1","Unknown",Setpoint
"gen-7376-1","CHANNELVIE~3-1","Unknown",Setpoint
"gen-7377-1","CHANNELVIE~4-1","Unknown",Setpoint
"gen-7378-1","CHANNELVIE~5-1","Unknown",Setpoint
"gen-7379-1","CHANNELVIE~6-1","Unknown",Setpoint
"gen-7389-1","WILLIS 1 0-1","Unknown",Setpoint
"gen-7400-1","HOUSTON 6 0-1","Unknown",Setpoint
"gen-7400-2","HOUSTON 6 0-2","Unknown",Setpoint
"gen-7400-3","HOUSTON 6 0-3","Unknown",Setpoint
"gen-7400-4","HOUSTON 6 0-4","Unknown",Setpoint
"gen-7400-5","HOUSTON 6 0-5","Unknown",Setpoint
"gen-7400-6","HOUSTON 6 0-6","Unknown",Setpoint
"gen-7406-1","POINT COMF~1-1","Unknown",Setpoint
"gen-7406-2","POINT COMF~1-2","Unknown",Setpoint
"gen-7414-1","VICTORIA 1 0-1","Unknown",Setpoint
"gen-7419-1","LA PORTE 0-1","Unknown",Setpoint
"gen-7419-2","LA PORTE 0-2","Unknown",Setpoint
"gen-7422-1","ALVIN 0-1","Unknown",Setpoint
"gen-7422-10","ALVIN 0-10","Unknown",Setpoint
"gen-7422-11","ALVIN 0-11","Unknown",Setpoint
"gen-7422-2","ALVIN 0-2","Unknown",Setpoint
"gen-7422-3","ALVIN 0-3","Unknown",Setpoint
"gen-7422-4","ALVIN 0-4","Unknown",Setpoint
"gen-7422-5","ALVIN 0-5","Unknown",Setpoint
"gen-7422-6","ALVIN 0-6","Unknown",Setpoint
"gen-7422-7","ALVIN 0-7","Unknown",Setpoint
"gen-7422-8","ALVIN 0-8","Unknown",Setpoint
"gen-7422-9","ALVIN 0-9","Unknown",Setpoint
"gen-7428-1","FREEPORT 2 0-1","Unknown",Setpoint
"gen-7428-10","FREEPORT 2 0-10","Unknown",Setpoint
"gen-7428-11","FREEPORT 2 0-11","Unknown",Setpoint
"gen-7428-2","FREEPORT 2 0-2","Unknown",Setpoint
"gen-7428-3","FREEPORT 2 0-3","Unknown",Setpoint
"gen-7428-4","FREEPORT 2 0-4","Unknown",Setpoint
"gen-7428-5","FREEPORT 2 0-5","Unknown",Setpoint
"gen-7428-6","FREEPORT 2 0-6","Unknown",Setpoint
"gen-7428-7","FREEPORT 2 0-7","Unknown",Setpoint
"gen-7428-8","FREEPORT 2 0-8","Unknown",Setpoint
"gen-7428-9","FREEPORT 2 0-9","Unknown",Setpoint
"gen-8024-1","LUFKIN 1 1-1","Unknown",Setpoint
"gen-8033-1","SHIRO 3-1","Unknown",Setpoint
"gen-8034-1","SHIRO 4-1","Unknown",Setpoint
"gen-8035-1","SHIRO 5-1","Unknown",Setpoint
"gen-8036-1","SHIRO 6-1","Unknown",Setpoint
"gen-8046-1","FAIRFIELD ~4-1","Unknown",Setpoint
"gen-8047-1","FAIRFIELD ~5-1","Unknown",Setpoint
"gen-8048-1","FAIRFIELD ~6-1","Unknown",Setpoint
"gen-8049-1","FAIRFIELD ~7-1","Unknown",Setpoint
"gen-8050-1","FAIRFIELD ~8-1","Unknown",Setpoint
"gen-8051-1","FAIRFIELD ~9-1","Unknown",Setpoint
"gen-8060-1","FAIRFIELD~13-1","Unknown",Setpoint
"gen-8061-1","FAIRFIELD~14-1","Unknown",Setpoint
"gen-8070-1","JEWETT 1 3-1","Unknown",Setpoint
"gen-8071-1","JEWETT 1 4-1","Unknown",Setpoint
"gen-8077-1","MT. ENTERP~4-1","Unknown",Setpoint
"gen-8078-1","MT. ENTERP~5-1","Unknown",Setpoint
"gen-8079-1","MT. ENTERP~6-1","Unknown",Setpoint
"gen-8080-1","MT. ENTERP~7-1","Unknown",Setpoint
"gen-8087-1","FRANKLIN 5-1","Unknown",Setpoint
"gen-8088-1","FRANKLIN 6-1","Unknown",Setpoint
"gen-8099-1","CUSHING 1 2-1","Unknown",Setpoint
"gen-8115-1","JACKSONVIL~4-1","Unknown",Setpoint
"gen-8116-1","JACKSONVIL~5-1","Unknown",Setpoint
"gen-8117-1","JACKSONVIL~6-1","Unknown",Setpoint
"gen-8129-1","MOUNT PLEA~4-1","Unknown",Setpoint
"gen-8130-1","MOUNT PLEA~5-1","Unknown",Setpoint
"gen-8131-1","MOUNT PLEA~6-1","Unknown",Setpoint
"gen-8147-1","TRINIDAD 1 0-1","Unknown",Setpoint
"gen-8147-2","TRINIDAD 1 0-2","Unknown",Setpoint
"gen-8152-1","BRYAN 2 0-1","Unknown",Setpoint
"gen-8155-1","BREMOND 0-1","Unknown",Setpoint
"gen-8155-2","BREMOND 0-2","Unknown",Setpoint
"gen-8158-1","BRYAN 1 0-1","Unknown",Setpoint
"gen-8158-2","BRYAN 1 0-2","Unknown",Setpoint
